URL,Title,Date,Type,Culture,Medium,Location
https://www.metmuseum.org/art/collection/search/14521,Beauty Revealed,1828,Painting,American,Not specified,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/15597,Armchair,ca. 1835-40,Furniture,American,"Mahogany, ash, brass sabots and casters","New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/15196,Portrait of a Lady (miniature),ca. 1835,Painting,American,Watercolor on ivory,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/18830,Portrait of a Lady (miniature),ca. 1845,Painting,American,Watercolor on ivory,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/6875,Rocking Chair,ca. 1870,Furniture,American,"Walnut, burl walnut veneer, steel","New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/14472,The Contest for the Bouquet: The Family of Robert Gordon in Their New York Dining-Room,1866,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/16580,Art Students,ca. 1871,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/224,Reclining Armchair,after 1866,Furniture,American,Cherry,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/11083,View of Poestenkill New York,ca. 1870,Painting,American,Oil on wood,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/13223,Cremorne Gardens No. 2,ca. 1870-80,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/12187,Night,1870,Drawing,American,Graphite on off-white wove paper,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/10443,Bull's Head Tavern,1870s,Painting,American,Oil on slate paper,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/12155,The Nurture of Bacchus (from Scrapbook),1874-80,Drawing,American,Graphite on off-white wove paper,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/12128,A Male Model Standing before a Stove,ca. 1875-80,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/229,Folding Armchair,ca. 1877-97,Furniture,American,"Walnut, metal","New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/10393,Lydia Crocheting in the Garden at Marly,1880,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/10822,The Pathetic Song,1881,Painting,American,Watercolor on off-white wove paper,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/13647,"Quilt Top, Crazy pattern",ca. 1885,Quilt,American,"Silk, satin, velvet, and cotton","New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/10811,The Artist's Wife and His Setter Dog,ca. 1884-89,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/13211,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret,1883,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/10391,Lady at the Tea Table,1883-85,Painting,American,Oil on canvas,"New York, American Wing, Met Museum Archives (1820-1885)"
https://www.metmuseum.org/art/collection/search/19781,Chandelier,1881-82,Furniture,American,"Brass, mother-of-pearl, glass shades, and semi-precious stones","New York, American Wing, Met Museum Archives (1820-1885)"
